# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.262987387385e-03 
       1.131335172818e-05       7.821473683185e-03 
       1.221587619877e-05       8.422903730092e-03 
       1.319039970550e-05       9.070581184785e-03 
       1.424266598317e-05       9.768062547009e-03 
       1.537887697396e-05       1.051917466479e-02 
       1.660572938097e-05       1.132804343549e-02 
       1.793045413791e-05       1.219911096970e-02 
       1.936085902737e-05       1.313715678638e-02 
       2.090537469909e-05       1.414733392851e-02 
       2.257310435923e-05       1.523518642570e-02 
       2.437387742372e-05       1.640668831930e-02 
       2.631830745176e-05       1.766827160306e-02 
       2.841785470091e-05       1.902686144374e-02 
       3.068489367268e-05       2.048991765044e-02 
       3.313278604643e-05       2.206547177661e-02 
       3.577595943165e-05       2.376217353257e-02 
       3.862999240274e-05       2.558933770985e-02 
       4.171170631739e-05       2.755699407425e-02 
       4.503926445983e-05       2.967594615887e-02 
       4.863227909323e-05       3.195782391906e-02 
       5.251192705226e-05       3.441515119869e-02 
       5.670107455699e-05       3.706141900492e-02 
       6.122441198393e-05       3.991115032215e-02 
       6.610859938837e-05       4.297998579343e-02 
       7.138242363583e-05       4.628476364009e-02 
       7.707696806873e-05       4.984362224822e-02 
       8.322579570814e-05       5.367608576593e-02 
       8.986514707061e-05       5.780317990813e-02 
       9.703415376577e-05       6.224754343665e-02 
       1.047750691338e-04       6.703355167040e-02 
       1.131335172818e-04       7.218744814630e-02 
       1.221587619877e-04       7.773749063860e-02 
       1.319039970550e-04       8.371409603153e-02 
       1.424266598317e-04       9.015001301448e-02 
       1.537887697396e-04       9.708049440289e-02 
       1.660572938097e-04       1.045434850545e-01 
       1.793045413791e-04       1.125798309590e-01 
       1.936085902737e-04       1.212334877349e-01 
       2.090537469909e-04       1.305517549917e-01 
       2.257310435923e-04       1.405855386079e-01 
       2.437387742372e-04       1.513895952892e-01 
       2.631830745176e-04       1.630228294416e-01 
       2.841785470091e-04       1.755485947329e-01 
       3.068489367268e-04       1.890350070137e-01 
       3.313278604643e-04       2.035552956544e-01 
       3.577595943165e-04       2.191881508152e-01 
       3.862999240274e-04       2.360181117416e-01 
       4.171170631739e-04       2.541359582449e-01 
       4.503926445983e-04       2.736391289233e-01 
       4.863227909323e-04       2.946321484716e-01 
       5.251192705226e-04       3.172270705473e-01 
       5.670107455699e-04       3.415439277800e-01 
       6.122441198393e-04       3.677111852823e-01 
       6.610859938837e-04       3.958661858919e-01 
       7.138242363583e-04       4.261555816994e-01 
       7.707696806873e-04       4.587357381983e-01 
       8.322579570814e-04       4.937730828305e-01 
       8.986514707061e-04       5.314444015011e-01 
       9.703415376577e-04       5.719370020638e-01 
       1.047750691338e-03       6.154488070068e-01 
       1.131335172818e-03       6.621881874848e-01 
       1.221587619877e-03       7.123736626837e-01 
       1.319039970550e-03       7.662331499233e-01 
       1.424266598317e-03       8.240107573892e-01 
       1.537887697396e-03       8.859490643196e-01 
       1.660572938097e-03       9.522943009629e-01 
       1.793045413791e-03       1.023297551902e+00 
       1.936085902737e-03       1.099208297322e+00 
       2.090537469909e-03       1.180269718859e+00 
       2.257310435923e-03       1.266712748339e+00 
       2.437387742372e-03       1.358748318695e+00 
