# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 213.844 h/Mpc,
# number of wavenumbers equal to 261
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261929016584e-03 
       1.131335172818e-05       7.820334219901e-03 
       1.221587619877e-05       8.421677608139e-03 
       1.319039970550e-05       9.069260135065e-03 
       1.424266598317e-05       9.766639031073e-03 
       1.537887697396e-05       1.051764255362e-02 
       1.660572938097e-05       1.132639550287e-02 
       1.793045413791e-05       1.219733523122e-02 
       1.936085902737e-05       1.313524511301e-02 
       2.090537469909e-05       1.414527458307e-02 
       2.257310435923e-05       1.523296920732e-02 
       2.437387742372e-05       1.640430087293e-02 
       2.631830745176e-05       1.766570068519e-02 
       2.841785470091e-05       1.902409212784e-02 
       3.068489367268e-05       2.048693506916e-02 
       3.313278604643e-05       2.206226046717e-02 
       3.577595943165e-05       2.375871508829e-02 
       3.862999240274e-05       2.558561346041e-02 
       4.171170631739e-05       2.755298401100e-02 
       4.503926445983e-05       2.967162705835e-02 
       4.863227909323e-05       3.195317292996e-02 
       5.251192705226e-05       3.441014407563e-02 
       5.670107455699e-05       3.705602743874e-02 
       6.122441198393e-05       3.990534468626e-02 
       6.610859938837e-05       4.297373391025e-02 
       7.138242363583e-05       4.627803315140e-02 
       7.707696806873e-05       4.983637492293e-02 
       8.322579570814e-05       5.366828205870e-02 
       8.986514707061e-05       5.779477863875e-02 
       9.703415376577e-05       6.223849889976e-02 
       1.047750691338e-04       6.702381588026e-02 
       1.131335172818e-04       7.217696810680e-02 
       1.221587619877e-04       7.772621073065e-02 
       1.319039970550e-04       8.370195569087e-02 
       1.424266598317e-04       9.013694875621e-02 
       1.537887697396e-04       9.706643674836e-02 
       1.660572938097e-04       1.045283617531e-01 
       1.793045413791e-04       1.125635624302e-01 
       1.936085902737e-04       1.212159909594e-01 
       2.090537469909e-04       1.305329448120e-01 
       2.257310435923e-04       1.405653185563e-01 
       2.437387742372e-04       1.513678672936e-01 
       2.631830745176e-04       1.629994898119e-01 
       2.841785470091e-04       1.755235340134e-01 
       3.068489367268e-04       1.890081134007e-01 
       3.313278604643e-04       2.035264500366e-01 
       3.577595943165e-04       2.191572337535e-01 
       3.862999240274e-04       2.359850023372e-01 
       4.171170631739e-04       2.541005354830e-01 
       4.503926445983e-04       2.736012747222e-01 
       4.863227909323e-04       2.945917506792e-01 
       5.251192705226e-04       3.171840287775e-01 
       5.670107455699e-04       3.414981598330e-01 
       6.122441198393e-04       3.676626295916e-01 
       6.610859938837e-04       3.958148203192e-01 
       7.138242363583e-04       4.261014312469e-01 
       7.707696806873e-04       4.586788910122e-01 
       8.322579570814e-04       4.937137187507e-01 
       8.986514707061e-04       5.313828076897e-01 
       9.703415376577e-04       5.718736322711e-01 
       1.047750691338e-03       6.153843091712e-01 
       1.131335172818e-03       6.621234791403e-01 
       1.221587619877e-03       7.123099891554e-01 
       1.319039970550e-03       7.661722359889e-01 
       1.424266598317e-03       8.239548213892e-01 
       1.537887697396e-03       8.859013178215e-01 
       1.660572938097e-03       9.522590130279e-01 
       1.793045413791e-03       1.023280311225e+00 
       1.936085902737e-03       1.099216511435e+00 
       2.090537469909e-03       1.180313176247e+00 
       2.257310435923e-03       1.266804266793e+00 
       2.437387742372e-03       1.358904950855e+00 
       2.631830745176e-03       1.456802705768e+00 
       2.841785470091e-03       1.560646786431e+00 
       3.068489367268e-03       1.670535763342e+00 
       3.313278604643e-03       1.786503248698e+00 
       3.577595943165e-03       1.908501950615e+00 
       3.862999240274e-03       2.036386181629e+00 
       4.171170631739e-03       2.169893778719e+00 
       4.503926445983e-03       2.308628263439e+00 
       4.863227909323e-03       2.452041941421e+00 
       5.251192705226e-03       2.599422917679e+00 
       5.670107455699e-03       2.749884848361e+00 
       6.122441198393e-03       2.902368187313e+00 
       6.610859938837e-03       3.055642447210e+00 
       7.138242363583e-03       3.208319934743e+00 
       7.707696806873e-03       3.358872970618e+00 
       8.322579570814e-03       3.505656188663e+00 
       8.986514707061e-03       3.646916470277e+00 
       9.703415376577e-03       3.780797570700e+00 
       1.047750691338e-02       3.905322148800e+00 
       1.131335172818e-02       4.018363813819e+00 
       1.221587619877e-02       4.117604980656e+00 
       1.319039970550e-02       4.200526725755e+00 
       1.424266598317e-02       4.264433055711e+00 
       1.537887697392e-02       4.306555086413e+00 
       1.660572938023e-02       4.324204655628e+00 
       1.793045412706e-02       4.314956163454e+00 
       1.936085890181e-02       4.276817210032e+00 
       2.090537352463e-02       4.208408976399e+00 
       2.257309535333e-02       4.109158821114e+00 
       2.437382002918e-02       3.979576127811e+00 
       2.631799944462e-02       3.821642288507e+00 
       2.841644545389e-02       3.638941094848e+00 
       3.067933355377e-02       3.436894195191e+00 
       3.311368470740e-02       3.222826933290e+00 
       3.571840443502e-02       3.005857254895e+00 
       3.847720348444e-02       2.796239784928e+00 
       4.135335538431e-02       2.603891799143e+00 
       4.429361667738e-02       2.436075164502e+00 
       4.724366439141e-02       2.295618542875e+00 
       5.016480835311e-02       2.180954983683e+00 
       5.303989620246e-02       2.087711947741e+00 
       5.586870669566e-02       2.010383336733e+00 
       5.866042680613e-02       1.943722643458e+00 
       6.142798932958e-02       1.883077373852e+00 
       6.418496440164e-02       1.824608818042e+00 
       6.694418833788e-02       1.765266875181e+00 
       6.971731106057e-02       1.702834590616e+00 
       7.251476155766e-02       1.635933119043e+00 
       7.534587671527e-02       1.564018376649e+00 
       7.821907666265e-02       1.487354414205e+00 
       8.114203772912e-02       1.406938885260e+00 
       8.412184535029e-02       1.324378970694e+00 
       8.716512279304e-02       1.241717649379e+00 
       9.027813695930e-02       1.161205405463e+00 
       9.346688431697e-02       1.085065108506e+00 
       9.673716028276e-02       1.015241362130e+00 
       1.000946150830e-01       9.532036640243e-01 
       1.035447986537e-01       8.997737091466e-01 
       1.070931966762e-01       8.550364500611e-01 
       1.107452594425e-01       8.182974865414e-01 
       1.145064249153e-01       7.881142139379e-01 
       1.183821370918e-01       7.623996135363e-01 
       1.223778605862e-01       7.386271051853e-01 
       1.264990921987e-01       7.141479589117e-01 
       1.307513701367e-01       6.866418724427e-01 
       1.351402814784e-01       6.545971860904e-01 
       1.396714684203e-01       6.176977872642e-01 
       1.443506338194e-01       5.769658216014e-01 
       1.491835465229e-01       5.345542313919e-01 
       1.541760469708e-01       4.932260012297e-01 
       1.593340535561e-01       4.556718904334e-01 
       1.646635702297e-01       4.238185223675e-01 
       1.701706958456e-01       3.983606141877e-01 
       1.758616357459e-01       3.785924246400e-01 
       1.817427160982e-01       3.625853325619e-01 
       1.878204015065e-01       3.478409431878e-01 
       1.941013164283e-01       3.316741942631e-01 
       2.005922709503e-01       3.124122492082e-01 
       2.073002914972e-01       2.901999681815e-01 
       2.142326570816e-01       2.668340035259e-01 
       2.213969417533e-01       2.447004516054e-01 
       2.288010639706e-01       2.256695877033e-01 
       2.364533437147e-01       2.104815538440e-01 
       2.443625682930e-01       1.984675167729e-01 
       2.525380679504e-01       1.877990252999e-01 
       2.609898026346e-01       1.765765592235e-01 
       2.697284615565e-01       1.639492361177e-01 
       2.787655775689e-01       1.504387028655e-01 
       2.881136588829e-01       1.375390173398e-01 
       2.977863412677e-01       1.265528444083e-01 
       3.077985646929e-01       1.175567923589e-01 
       3.181667794071e-01       1.096268242762e-01 
       3.289091877812e-01       1.016464328211e-01 
       3.400460299658e-01       9.321452101210e-02 
       3.515999236474e-01       8.492324514996e-02 
       3.635962711085e-01       7.751684297128e-02 
       3.760637506334e-01       7.117264296016e-02 
       3.890349143879e-01       6.533492781028e-02 
       4.025469216825e-01       5.954479730423e-02 
       4.166424456376e-01       5.387488794918e-02 
       4.313708035863e-01       4.869446347548e-02 
       4.467893782977e-01       4.406296601039e-02 
       4.629654199664e-01       3.974370201324e-02 
       4.799783501994e-01       3.557725253937e-02 
       4.979227319373e-01       3.169242782988e-02 
       5.169121270864e-01       2.817580603445e-02 
       5.370841404489e-01       2.488533570518e-02 
       5.586070464571e-01       2.179586840362e-02 
       5.816885094930e-01       1.896466141740e-02 
       6.065870144995e-01       1.634774037474e-02 
       6.336266468475e-01       1.392452719330e-02 
       6.632156059511e-01       1.171033010934e-02 
       6.958678639263e-01       9.682750915922e-03 
       7.322247985589e-01       7.849163068219e-03 
       7.730680195114e-01       6.205112720423e-03 
       8.193049553677e-01       4.758096607269e-03 
       8.718988016039e-01       3.514895943924e-03 
       9.317218031082e-01       2.484163623788e-03 
       9.993660908989e-01       1.667009969250e-03 
       1.075037110174e+00       1.054285163802e-03 
       1.158653485707e+00       6.217688241461e-04 
       1.250099157308e+00       3.361169104639e-04 
       1.349432401273e+00       1.610319278977e-04 
       1.456947457397e+00       6.374589697170e-05 
       1.573135111331e+00       1.736165381070e-05 
       1.698621895592e+00       1.373112658630e-06 
       1.834127512934e+00       1.155395092525e-06 
       1.980444934528e+00       7.047898398412e-06 
       2.138435191726e+00       1.334107809562e-05 
       2.309029199186e+00       1.730907999823e-05 
       2.493232377687e+00       1.821285647796e-05 
       2.692130395285e+00       1.652671715925e-05 
       2.906895534573e+00       1.326054338584e-05 
       3.138793597714e+00       9.476246375476e-06 
