# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.262884825080e-03 
       1.131335172818e-05       7.821363361893e-03 
       1.221587619877e-05       8.422784794426e-03 
       1.319039970550e-05       9.070455070360e-03 
       1.424266598317e-05       9.767926508701e-03 
       1.537887697396e-05       1.051902698159e-02 
       1.660572938097e-05       1.132788428061e-02 
       1.793045413791e-05       1.219893821614e-02 
       1.936085902737e-05       1.313697181720e-02 
       2.090537469909e-05       1.414713535202e-02 
       2.257310435923e-05       1.523497247936e-02 
       2.437387742372e-05       1.640645823420e-02 
       2.631830745176e-05       1.766802298061e-02 
       2.841785470091e-05       1.902659394599e-02 
       3.068489367268e-05       2.048962918235e-02 
       3.313278604643e-05       2.206516113845e-02 
       3.577595943165e-05       2.376183983694e-02 
       3.862999240274e-05       2.558897799048e-02 
       4.171170631739e-05       2.755660723026e-02 
       4.503926445983e-05       2.967552905026e-02 
       4.863227909323e-05       3.195737390272e-02 
       5.251192705226e-05       3.441466885996e-02 
       5.670107455699e-05       3.706090094355e-02 
       6.122441198393e-05       3.991059154836e-02 
       6.610859938837e-05       4.297938363006e-02 
       7.138242363583e-05       4.628411691194e-02 
       7.707696806873e-05       4.984292401430e-02 
       8.322579570814e-05       5.367533389371e-02 
       8.986514707061e-05       5.780237048815e-02 
       9.703415376577e-05       6.224667233354e-02 
       1.047750691338e-04       6.703261393096e-02 
       1.131335172818e-04       7.218643778376e-02 
       1.221587619877e-04       7.773640264220e-02 
       1.319039970550e-04       8.371292565883e-02 
       1.424266598317e-04       9.014875184484e-02 
       1.537887697396e-04       9.707913869904e-02 
       1.660572938097e-04       1.045420255391e-01 
       1.793045413791e-04       1.125782615877e-01 
       1.936085902737e-04       1.212317986815e-01 
       2.090537469909e-04       1.305499410013e-01 
       2.257310435923e-04       1.405835880322e-01 
       2.437387742372e-04       1.513874989465e-01 
       2.631830745176e-04       1.630205775910e-01 
       2.841785470091e-04       1.755461767834e-01 
       3.068489367268e-04       1.890324130807e-01 
       3.313278604643e-04       2.035525128290e-01 
       3.577595943165e-04       2.191851684266e-01 
       3.862999240274e-04       2.360149172880e-01 
       4.171170631739e-04       2.541325412129e-01 
       4.503926445983e-04       2.736354777174e-01 
       4.863227909323e-04       2.946282516993e-01 
       5.251192705226e-04       3.172229191200e-01 
       5.670107455699e-04       3.415395139338e-01 
       6.122441198393e-04       3.677065030555e-01 
       6.610859938837e-04       3.958612331330e-01 
       7.138242363583e-04       4.261503612209e-01 
       7.707696806873e-04       4.587302579755e-01 
       8.322579570814e-04       4.937673611436e-01 
       8.986514707061e-04       5.314384630903e-01 
       9.703415376577e-04       5.719308969988e-01 
       1.047750691338e-03       6.154425954392e-01 
       1.131335172818e-03       6.621819647170e-01 
       1.221587619877e-03       7.123675346926e-01 
       1.319039970550e-03       7.662273049638e-01 
       1.424266598317e-03       8.240053927254e-01 
       1.537887697396e-03       8.859444919541e-01 
       1.660572938097e-03       9.522909175940e-01 
       1.793045413791e-03       1.023295861558e+00 
       1.936085902737e-03       1.099208993979e+00 
       2.090537469909e-03       1.180273764409e+00 
       2.257310435923e-03       1.266721259364e+00 
       2.437387742372e-03       1.358762918420e+00 
       2.631830745176e-03       1.456581265142e+00 
       2.841785470091e-03       1.560318798030e+00 
       3.068489367268e-03       1.670065255716e+00 
       3.313278604643e-03       1.785843086680e+00 
       3.577595943165e-03       1.907586576239e+00 
       3.862999240274e-03       2.035130927587e+00 
       4.171170631739e-03       2.168184587589e+00 
       4.503926445983e-03       2.306312239283e+00 
       4.863227909323e-03       2.448914857744e+00 
       5.251192705226e-03       2.595212069914e+00 
       5.670107455699e-03       2.744226191931e+00 
       6.122441198393e-03       2.894777670119e+00 
       6.610859938837e-03       3.045479840590e+00 
       7.138242363583e-03       3.194740836422e+00 
       7.707696806873e-03       3.340772085361e+00 
       8.322579570814e-03       3.481592591979e+00 
       8.986514707061e-03       3.615030479058e+00 
       9.703415376577e-03       3.738703908038e+00 
       1.047750691338e-02       3.849986966157e+00 
       1.131335172818e-02       3.945961749824e+00 
       1.221587619877e-02       4.023344804708e+00 
       1.319039970550e-02       4.078470516343e+00 
       1.424266598317e-02       4.107280718900e+00 
       1.537887697392e-02       4.105431061474e+00 
       1.660572938023e-02       4.068465428284e+00 
       1.793045412706e-02       3.992032715339e+00 
       1.936085890181e-02       3.872194850921e+00 
       2.090537352463e-02       3.705727437537e+00 
       2.257309535333e-02       3.490577817859e+00 
       2.437382002918e-02       3.226467435132e+00 
       2.631799944462e-02       2.915653668797e+00 
       2.841644545389e-02       2.563741416170e+00 
       3.067933355377e-02       2.180485659153e+00 
       3.311368470740e-02       1.780423694018e+00 
       3.571840443502e-02       1.382981497826e+00 
       3.847720348444e-02       1.011184468424e+00 
       4.135335538431e-02       6.876754464043e-01 
       4.429361667738e-02       4.287186272214e-01 
       4.724366439141e-02       2.395464744139e-01 
       5.016480835311e-02       1.146422286781e-01 
       5.303989620246e-02       4.206180243930e-02 
       5.586870669566e-02       8.087492993940e-03 
       5.866042680613e-02       4.792768401991e-05 
       6.142798932958e-02       7.400949448419e-03 
       6.418496440164e-02       2.195152028239e-02 
       6.694418833788e-02       3.771643196510e-02 
       6.971731106057e-02       5.068792024425e-02 
       7.251476155766e-02       5.858915557115e-02 
       7.534587671527e-02       6.058985493798e-02 
       7.821907666265e-02       5.702762510215e-02 
       8.114203772912e-02       4.908280405721e-02 
       8.412184535029e-02       3.844672361036e-02 
       8.716512279304e-02       2.697675167998e-02 
       9.027813695930e-02       1.639055577812e-02 
       9.346688431697e-02       8.005975063942e-03 
       9.673716028276e-02       2.568137937575e-03 
       1.000946150830e-01       1.860124366967e-04 
       1.035447986537e-01       3.908425459517e-04 
       1.070931966762e-01       2.297057825699e-03 
       1.107452594425e-01       4.837213164963e-03 
       1.145064249153e-01       7.019027594043e-03 
       1.183821370918e-01       8.147110413979e-03 
       1.223778605862e-01       7.952529549298e-03 
       1.264990921987e-01       6.602049836983e-03 
       1.307513701367e-01       4.585954527748e-03 
       1.351402814784e-01       2.522627269685e-03 
       1.396714684203e-01       9.419684054681e-04 
       1.443506338194e-01       1.239545037542e-04 
       1.491835465229e-01       4.253004863340e-05 
       1.541760469708e-01       4.266920397631e-04 
       1.593340535561e-01       9.073834632156e-04 
       1.646635702297e-01       1.184442232454e-03 
       1.701706958456e-01       1.134082819199e-03 
       1.758616357459e-01       8.236292273939e-04 
       1.817427160982e-01       4.311675411271e-04 
       1.878204015065e-01       1.320516812967e-04 
       1.941013164283e-01       5.870359674563e-06 
       2.005922709503e-01       2.515496770349e-05 
       2.073002914972e-01       9.732819458406e-05 
       2.142326570816e-01       1.407263631689e-04 
       2.213969417533e-01       1.257778024453e-04 
       2.288010639706e-01       7.298672037651e-05 
       2.364533437147e-01       2.367661375488e-05 
       2.443625682930e-01       1.565953311252e-06 
       2.525380679504e-01       2.521560791307e-06 
       2.609898026346e-01       1.042156656502e-05 
       2.697284615565e-01       1.276281205052e-05 
       2.787655775689e-01       8.647705869656e-06 
       2.881136588829e-01       3.257444928037e-06 
       2.977863412677e-01       3.341761164190e-07 
       3.077985646929e-01       1.083523837847e-07 
       3.181667794071e-01       6.346258527867e-07 
       3.289091877812e-01       7.290528552554e-07 
       3.400460299658e-01       3.651531619771e-07 
       3.515999236474e-01       7.950683442983e-08 
       3.635962711085e-01       7.099186669801e-13 
       3.760637506334e-01       2.645086951052e-08 
       3.890349143879e-01       4.325284397082e-08 
       4.025469216825e-01       2.981822158303e-08 
       4.166424456376e-01       1.267037785119e-08 
       4.313708035863e-01       5.643463068509e-10 
       4.467893782977e-01       1.795787283412e-10 
       4.629654199664e-01       2.917441425816e-10 
       4.799783501994e-01       2.010496642341e-10 
       4.979227319373e-01       5.596696104231e-12 
       5.169121270864e-01       8.717667683105e-11 
       5.370841404489e-01       2.217636430960e-10 
       5.586070464571e-01       5.649333542204e-12 
       5.816885094930e-01       6.236609538965e-11 
       6.065870144995e-01       2.125242897673e-10 
       6.336266468475e-01       6.144523157957e-13 
       6.632156059511e-01       1.257892349624e-10 
       6.958678639263e-01       2.493197129209e-10 
       7.322247985589e-01       1.586213033852e-11 
       7.730680195114e-01       1.541306672263e-11 
       8.193049553677e-01       1.882400276487e-11 
       8.718988016039e-01       6.392883366689e-12 
       9.317218031082e-01       1.177231651846e-10 
       9.993660908989e-01       5.972403471050e-12 
       1.075037110174e+00       2.135794989927e-10 
       1.158653485707e+00       6.722335991425e-11 
       1.250099157308e+00       9.925669393311e-10 
       1.349432401273e+00       1.376020227203e-09 
       1.456947457397e+00       4.823721368883e-11 
       1.573135111331e+00       4.006715115396e-10 
       1.698621895592e+00       1.677167112200e-10 
       1.834127512934e+00       7.339236912997e-10 
       1.980444934528e+00       5.157207018624e-10 
       2.138435191726e+00       2.093453833483e-10 
       2.309029199186e+00       1.698484202994e-10 
       2.493232377687e+00       2.988579780756e-09 
       2.692130395285e+00       4.845867977042e-12 
       2.906895534573e+00       1.762650379273e-09 
       3.138793597714e+00       6.962561406236e-10 
       3.389191366484e+00       1.511183871330e-09 
       3.659564657905e+00       7.299730133292e-11 
       3.951507022538e+00       7.101234573014e-10 
       4.266739136701e+00       1.186387648812e-09 
       4.607118943941e+00       5.900489549932e-10 
       4.974652605557e+00       1.681790155893e-09 
       5.371506324689e+00       2.331166864970e-11 
       5.800019113685e+00       1.612448022324e-10 
       6.262716579983e+00       1.638930089619e-09 
       6.762325811764e+00       3.075683873573e-10 
       7.301791451110e+00       4.666279284216e-11 
       7.884293049406e+00       2.078874415132e-10 
       8.513263807261e+00       4.114316771179e-12 
       9.192410809424e+00       5.338047939384e-11 
       9.925736873929e+00       3.285367030302e-13 
       1.071756414427e+01       2.878662850865e-11 
       1.157255956364e+01       1.850860220108e-11 
       1.249576238137e+01       3.319833243082e-11 
       1.349261385375e+01       7.941820635762e-12 
       1.456898931416e+01       3.600287185696e-11 
       1.573123280165e+01       1.354016275625e-12 
       1.698619445202e+01       6.074565386572e-12 
       1.834127087176e+01       1.332755476199e-12 
       1.980444873285e+01       2.529212847318e-12 
       2.138435184532e+01       5.387142111613e-14 
       2.309029198506e+01       9.812020784005e-13 
       2.493232377636e+01       3.118372000531e-14 
       2.692130395282e+01       2.602774086870e-13 
       2.906895534573e+01       8.646604555997e-15 
       3.138793597714e+01       1.334082552259e-14 
       3.389191366484e+01       5.199152867837e-12 
       3.659564657905e+01       1.802066115881e-13 
       3.951507022538e+01       9.020031006084e-14 
       4.266739136701e+01       5.992156780804e-13 
       4.607118943941e+01       8.297679464721e-16 
       4.974652605557e+01       1.190349488950e-12 
       5.371506324689e+01       3.173490107243e-12 
       5.800019113685e+01       7.479619516990e-14 
       6.262716579983e+01       6.518763297529e-13 
       6.762325811764e+01       1.510482957389e-15 
       7.301791451110e+01       5.114074574238e-13 
       7.884293049406e+01       1.264684836992e-12 
       8.513263807261e+01       3.913508892196e-14 
       9.192410809424e+01       3.179115459025e-13 
       9.925736873929e+01       6.647228298234e-14 
       1.071756414427e+02       1.064550628647e-13 
       1.157255956364e+02       9.739431168776e-14 
       1.249576238137e+02       5.195766517066e-14 
       1.349261385375e+02       3.603399858660e-13 
