# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927096275e-03 
       1.131335172818e-05       7.820332151822e-03 
       1.221587619877e-05       8.421675383478e-03 
       1.319039970550e-05       9.069257739240e-03 
       1.424266598317e-05       9.766636452457e-03 
       1.537887697396e-05       1.051763973784e-02 
       1.660572938097e-05       1.132639250906e-02 
       1.793045413791e-05       1.219733201675e-02 
       1.936085902737e-05       1.313524187382e-02 
       2.090537469909e-05       1.414527085171e-02 
       2.257310435923e-05       1.523296544701e-02 
       2.437387742372e-05       1.640429654866e-02 
       2.631830745176e-05       1.766569603529e-02 
       2.841785470091e-05       1.902408711424e-02 
       3.068489367268e-05       2.048692967726e-02 
       3.313278604643e-05       2.206225467853e-02 
       3.577595943165e-05       2.375870884180e-02 
       3.862999240274e-05       2.558560670176e-02 
       4.171170631739e-05       2.755297672888e-02 
       4.503926445983e-05       2.967161933823e-02 
       4.863227909323e-05       3.195316456097e-02 
       5.251192705226e-05       3.441013466610e-02 
       5.670107455699e-05       3.705601742215e-02 
       6.122441198393e-05       3.990533413388e-02 
       6.610859938837e-05       4.297372243126e-02 
       7.138242363583e-05       4.627802055490e-02 
       7.707696806873e-05       4.983636160576e-02 
       8.322579570814e-05       5.366826787673e-02 
       8.986514707061e-05       5.779476320530e-02 
       9.703415376577e-05       6.223848222693e-02 
       1.047750691338e-04       6.702379825944e-02 
       1.131335172818e-04       7.217695032073e-02 
       1.221587619877e-04       7.772619031431e-02 
       1.319039970550e-04       8.370193381191e-02 
       1.424266598317e-04       9.013692507906e-02 
       1.537887697396e-04       9.706641131732e-02 
       1.660572938097e-04       1.045283343254e-01 
       1.793045413791e-04       1.125635329340e-01 
       1.936085902737e-04       1.212159592475e-01 
       2.090537469909e-04       1.305329107614e-01 
       2.257310435923e-04       1.405652819553e-01 
       2.437387742372e-04       1.513678275282e-01 
       2.631830745176e-04       1.629994475355e-01 
       2.841785470091e-04       1.755234890716e-01 
       3.068489367268e-04       1.890080645554e-01 
       3.313278604643e-04       2.035263977704e-01 
       3.577595943165e-04       2.191571778336e-01 
       3.862999240274e-04       2.359849423572e-01 
       4.171170631739e-04       2.541004713334e-01 
       4.503926445983e-04       2.736012061513e-01 
       4.863227909323e-04       2.945916775018e-01 
       5.251192705226e-04       3.171839508260e-01 
       5.670107455699e-04       3.414980769526e-01 
       6.122441198393e-04       3.676625416739e-01 
       6.610859938837e-04       3.958147273323e-01 
       7.138242363583e-04       4.261013332540e-01 
       7.707696806873e-04       4.586787881338e-01 
       8.322579570814e-04       4.937136113318e-01 
       8.986514707061e-04       5.313826962576e-01 
       9.703415376577e-04       5.718735177296e-01 
       1.047750691338e-03       6.153841926723e-01 
       1.131335172818e-03       6.621233623559e-01 
       1.221587619877e-03       7.123098744033e-01 
       1.319039970550e-03       7.661721264081e-01 
       1.424266598317e-03       8.239547181450e-01 
       1.537887697396e-03       8.859012282748e-01 
       1.660572938097e-03       9.522589495385e-01 
       1.793045413791e-03       1.023280284660e+00 
       1.936085902737e-03       1.099216541997e+00 
       2.090537469909e-03       1.180313284860e+00 
       2.257310435923e-03       1.266804486543e+00 
       2.437387742372e-03       1.358905328081e+00 
       2.631830745176e-03       1.456803285418e+00 
       2.841785470091e-03       1.560647662313e+00 
       3.068489367268e-03       1.670537009606e+00 
       3.313278604643e-03       1.786505038353e+00 
       3.577595943165e-03       1.908504408433e+00 
       3.862999240274e-03       2.036389466567e+00 
       4.171170631739e-03       2.169898249971e+00 
       4.503926445983e-03       2.308634488333e+00 
       4.863227909323e-03       2.452050670128e+00 
       5.251192705226e-03       2.599434675220e+00 
       5.670107455699e-03       2.749901118974e+00 
       6.122441198393e-03       2.902390048876e+00 
       6.610859938837e-03       3.055671257947e+00 
       7.138242363583e-03       3.208360107966e+00 
       7.707696806873e-03       3.358926632792e+00 
       8.322579570814e-03       3.505726866778e+00 
       8.986514707061e-03       3.647012409255e+00 
       9.703415376577e-03       3.780926144052e+00 
       1.047750691338e-02       3.905492837285e+00 
       1.131335172818e-02       4.018589772854e+00 
       1.221587619877e-02       4.117902823834e+00 
       1.319039970550e-02       4.200917621356e+00 
       1.424266598317e-02       4.264943643216e+00 
       1.537887697392e-02       4.307219554160e+00 
       1.660572938023e-02       4.325062319065e+00 
       1.793045412706e-02       4.316060226091e+00 
       1.936085890181e-02       4.278228734360e+00 
       2.090537352463e-02       4.210204238212e+00 
       2.257309535333e-02       4.111418470590e+00 
       2.437382002918e-02       3.982420609759e+00 
       2.631799944462e-02       3.825168302848e+00 
       2.841644545389e-02       3.643281804372e+00 
       3.067933355377e-02       3.442198191383e+00 
       3.311368470740e-02       3.229241001283e+00 
       3.571840443502e-02       3.013515663033e+00 
       3.847720348444e-02       2.805283186226e+00 
       4.135335538431e-02       2.614409819911e+00 
       4.429361667738e-02       2.448131240639e+00 
       4.724366439141e-02       2.309239606507e+00 
       5.016480835311e-02       2.196114052007e+00 
       5.303989620246e-02       2.104368612914e+00 
       5.586870669566e-02       2.028461241933e+00 
       5.866042680613e-02       1.963153853669e+00 
       6.142798932958e-02       1.903778143772e+00 
       6.418496440164e-02       1.846477535396e+00 
       6.694418833788e-02       1.788195693493e+00 
       6.971731106057e-02       1.726713786066e+00 
       7.251476155766e-02       1.660652387602e+00 
       7.534587671527e-02       1.589467745349e+00 
       7.821907666265e-02       1.513434366605e+00 
       8.114203772912e-02       1.433566460449e+00 
       8.412184535029e-02       1.351489868448e+00 
       8.716512279304e-02       1.269271259162e+00 
       9.027813695930e-02       1.189190613688e+00 
       9.346688431697e-02       1.113498379753e+00 
       9.673716028276e-02       1.044171726680e+00 
       1.000946150830e-01       9.827031645960e-01 
       1.035447986537e-01       9.299371874324e-01 
       1.070931966762e-01       8.859554480523e-01 
       1.107452594425e-01       8.500678927890e-01 
       1.145064249153e-01       8.207999725465e-01 
       1.183821370918e-01       7.960207111179e-01 
       1.223778605862e-01       7.731419386617e-01 
       1.264990921987e-01       7.494482224640e-01 
