# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020963747215e+01 
       1.319039970183e-05       6.270560711747e+01 
       1.660572937635e-05       7.831145805969e+01 
       2.090537469327e-05       9.780106050195e+01 
       2.631830744443e-05       1.221408397239e+02 
       3.313278603720e-05       1.525374534989e+02 
       4.171170630578e-05       1.904976184891e+02 
       5.251192703764e-05       2.379022719281e+02 
       6.610859936996e-05       2.970989934495e+02 
       8.322579568497e-05       3.710168731285e+02 
       1.047750691046e-04       4.633083549546e+02 
       1.319039970183e-04       5.785239627922e+02 
       1.660572937635e-04       7.223253569296e+02 
       2.090537469327e-04       9.017417858645e+02 
       2.631830744443e-04       1.125472394309e+03 
       3.313278603720e-04       1.404231507662e+03 
       4.171170630578e-04       1.751124758820e+03 
       5.251192703764e-04       2.182031546507e+03 
       6.610859936996e-04       2.715955445913e+03 
       8.322579568497e-04       3.375281743157e+03 
       1.047750691046e-03       4.185807807829e+03 
       1.319039970183e-03       5.176247190297e+03 
       1.660572937635e-03       6.376663101210e+03 
       2.090537469327e-03       7.816197804537e+03 
       2.631830744443e-03       9.518283694871e+03 
       3.313278603720e-03       1.149404179996e+04 
       4.171170630578e-03       1.373308824977e+04 
       5.251192703764e-03       1.619095588076e+04 
       6.610859936996e-03       1.877378657958e+04 
       8.322579568497e-03       2.132639366365e+04 
       1.047750691046e-02       2.360568029467e+04 
       1.319039970183e-02       2.528237512995e+04 
       1.660572937633e-02       2.595052965102e+04 
       2.090537453514e-02       2.520875678547e+04 
       2.631818545635e-02       2.286999919776e+04 
       3.311571692125e-02       1.928611107934e+04 
       4.113809243311e-02       1.568411227823e+04 
       4.792590854610e-02       1.361018563523e+04 
       5.284436902701e-02       1.259109638919e+04 
       5.689644391095e-02       1.195523266614e+04 
       6.051252627066e-02       1.147522899760e+04 
       6.388413457411e-02       1.105549069937e+04 
       6.711249296401e-02       1.064861690937e+04 
       7.025823437965e-02       1.022924297328e+04 
       7.336115587705e-02       9.784565214140e+03 
       7.644928796912e-02       9.311662510631e+03 
       7.954353299775e-02       8.814541741594e+03 
       8.266024078725e-02       8.302069078832e+03 
       8.581273398637e-02       7.786964007438e+03 
       8.901225918437e-02       7.283063321494e+03 
       9.226860540985e-02       6.805184226312e+03 
       9.559052048996e-02       6.365612523301e+03 
       9.898599946599e-02       5.974300681230e+03 
       1.024624891378e-01       5.637262547030e+03 
       1.060270359164e-01       5.355722858711e+03 
       1.096863943056e-01       5.126218355427e+03 
       1.134471073830e-01       4.940471515378e+03 
       1.173155669539e-01       4.786075652888e+03 
       1.212980586983e-01       4.647832775229e+03 
       1.254007961065e-01       4.508999946735e+03 
       1.296299459934e-01       4.354389442020e+03 
       1.339916477160e-01       4.173181263273e+03 
       1.384920277736e-01       3.961017479343e+03 
       1.431372111762e-01       3.722658161609e+03 
       1.479333307714e-01       3.469461041908e+03 
       1.528865355934e-01       3.218308746606e+03 
       1.580029992204e-01       2.986261871374e+03 
       1.632889290723e-01       2.786915250133e+03 
       1.687505775527e-01       2.626796888957e+03 
       1.743942559171e-01       2.503779768561e+03 
       1.802263517371e-01       2.407261742855e+03 
       1.862533508214e-01       2.322262750165e+03 
       1.924818644494e-01       2.231560837728e+03 
       1.989186627765e-01       2.122144884974e+03 
       2.055707152847e-01       1.991980112123e+03 
       2.124452391818e-01       1.850261209934e+03 
       2.195497567139e-01       1.712119867154e+03 
       2.268921624510e-01       1.590955760156e+03 
       2.344808017550e-01       1.493648978077e+03 
       2.423245618548e-01       1.418277229669e+03 
       2.504329772620e-01       1.354432464018e+03 
       2.588163516754e-01       1.288911533111e+03 
       2.674858990930e-01       1.213934691636e+03 
       2.764539076010e-01       1.130658677993e+03 
       2.857339303080e-01       1.048069864018e+03 
       2.953410092148e-01       9.761514745298e+02 
       3.052919395542e-01       9.177920553123e+02 
       3.156055844677e-01       8.678672541769e+02 
       3.263032530092e-01       8.185046851779e+02 
       3.374091587054e-01       7.651450905838e+02 
       3.489509817175e-01       7.106468707364e+02 
       3.609605657343e-01       6.607651169029e+02 
       3.734747921333e-01       6.180822062729e+02 
       3.865366902904e-01       5.792894595703e+02 
       4.001968667448e-01       5.403737116315e+02 
       4.145153713076e-01       5.011347434785e+02 
       4.295641718077e-01       4.644956040467e+02 
       4.454304922144e-01       4.313932923011e+02 
       4.622214006969e-01       4.000997383760e+02 
       4.800702491654e-01       3.690780704134e+02 
       4.991459272112e-01       3.394648971557e+02 
       5.196665217302e-01       3.119752561473e+02 
       5.419201087032e-01       2.852381227348e+02 
       5.662975451962e-01       2.593226912335e+02 
       5.933463737275e-01       2.345400659549e+02 
       6.238638458458e-01       2.102270303998e+02 
       6.590669257916e-01       1.864270618826e+02 
       7.009246080454e-01       1.627229767742e+02 
       7.528593308799e-01       1.388161500712e+02 
       8.213469537518e-01       1.141882972683e+02 
       9.196980813302e-01       8.835779234682e+01 
       1.075112183810e+00       6.172572753304e+01 
       1.322697471132e+00       3.804154847339e+01 
       1.662328205042e+00       2.209722082666e+01 
       2.092692408506e+00       1.266900185302e+01 
       2.634543445090e+00       7.203015604148e+00 
       3.316693691389e+00       4.065100325582e+00 
       4.175469971226e+00       2.278548519391e+00 
       5.256605252960e+00       1.269326447008e+00 
       6.617673932723e+00       7.031354841997e-01 
       8.331157880872e+00       3.874750715029e-01 
       1.048830636590e+01       2.125107664063e-01 
       1.320399541071e+01       1.160366357553e-01 
       1.662284535976e+01       6.309848257144e-02 
       2.092692243973e+01       3.417941436187e-02 
       2.634543445002e+01       1.844595818069e-02 
       3.316693691389e+01       9.919205020263e-03 
       4.175469971226e+01       5.314614726474e-03 
       5.256605252960e+01       2.836710288164e-03 
       6.617673932723e+01       1.507685560173e-03 
