# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.262989578476e-03 
       1.131335172818e-05       7.821475405060e-03 
       1.221587619877e-05       8.422907605826e-03 
       1.319039970550e-05       9.070585913273e-03 
       1.424266598317e-05       9.768065972740e-03 
       1.537887697396e-05       1.051917841930e-02 
       1.660572938097e-05       1.132804779283e-02 
       1.793045413791e-05       1.219911509152e-02 
       1.936085902737e-05       1.313716087831e-02 
       2.090537469909e-05       1.414733895404e-02 
       2.257310435923e-05       1.523519158927e-02 
       2.437387742372e-05       1.640669491097e-02 
       2.631830745176e-05       1.766827673449e-02 
       2.841785470091e-05       1.902686755608e-02 
       3.068489367268e-05       2.048992299436e-02 
       3.313278604643e-05       2.206547775152e-02 
       3.577595943165e-05       2.376217899916e-02 
       3.862999240274e-05       2.558934421482e-02 
       4.171170631739e-05       2.755700173565e-02 
       4.503926445983e-05       2.967595333553e-02 
       4.863227909323e-05       3.195783147027e-02 
       5.251192705226e-05       3.441516032052e-02 
       5.670107455699e-05       3.706142947408e-02 
       6.122441198393e-05       3.991116172768e-02 
       6.610859938837e-05       4.297999615560e-02 
       7.138242363583e-05       4.628477737387e-02 
       7.707696806873e-05       4.984363587402e-02 
       8.322579570814e-05       5.367609961586e-02 
       8.986514707061e-05       5.780319506584e-02 
       9.703415376577e-05       6.224755924889e-02 
       1.047750691338e-04       6.703356992263e-02 
       1.131335172818e-04       7.218746788145e-02 
       1.221587619877e-04       7.773751119427e-02 
       1.319039970550e-04       8.371411809187e-02 
       1.424266598317e-04       9.015003629724e-02 
       1.537887697396e-04       9.708051838209e-02 
       1.660572938097e-04       1.045435127178e-01 
       1.793045413791e-04       1.125798598529e-01 
       1.936085902737e-04       1.212335179027e-01 
       2.090537469909e-04       1.305517896612e-01 
       2.257310435923e-04       1.405855746612e-01 
       2.437387742372e-04       1.513896334279e-01 
       2.631830745176e-04       1.630228719644e-01 
       2.841785470091e-04       1.755486386485e-01 
       3.068489367268e-04       1.890350565816e-01 
       3.313278604643e-04       2.035553482269e-01 
       3.577595943165e-04       2.191882069063e-01 
       3.862999240274e-04       2.360181714929e-01 
       4.171170631739e-04       2.541360222512e-01 
       4.503926445983e-04       2.736391974751e-01 
       4.863227909323e-04       2.946322224187e-01 
       5.251192705226e-04       3.172271496867e-01 
       5.670107455699e-04       3.415440116644e-01 
       6.122441198393e-04       3.677112757281e-01 
       6.610859938837e-04       3.958662814871e-01 
       7.138242363583e-04       4.261556843688e-01 
       7.707696806873e-04       4.587358454341e-01 
       8.322579570814e-04       4.937731952155e-01 
       8.986514707061e-04       5.314445176776e-01 
       9.703415376577e-04       5.719371255350e-01 
       1.047750691338e-03       6.154489349591e-01 
       1.131335172818e-03       6.621883301742e-01 
       1.221587619877e-03       7.123737939727e-01 
       1.319039970550e-03       7.662332931944e-01 
       1.424266598317e-03       8.240108978779e-01 
       1.537887697396e-03       8.859492119767e-01 
       1.660572938097e-03       9.522944623146e-01 
       1.793045413791e-03       1.023297630016e+00 
       1.936085902737e-03       1.099208399986e+00 
       2.090537469909e-03       1.180269811409e+00 
       2.257310435923e-03       1.266712785195e+00 
       2.437387742372e-03       1.358748354917e+00 
       2.631830745176e-03       1.456558426613e+00 
       2.841785470091e-03       1.560284832014e+00 
       3.068489367268e-03       1.670016701179e+00 
       3.313278604643e-03       1.785773952644e+00 
       3.577595943165e-03       1.907491974235e+00 
       3.862999240274e-03       2.035001061767e+00 
       4.171170631739e-03       2.168008393723e+00 
       4.503926445983e-03       2.306073306732e+00 
       4.863227909323e-03       2.448592063661e+00 
       5.251192705226e-03       2.594779818500e+00 
       5.670107455699e-03       2.743646163723e+00 
       6.122441198393e-03       2.894000614198e+00 
       6.610859938837e-03       3.044443664862e+00 
       7.138242363583e-03       3.193361051162e+00 
       7.707696806873e-03       3.338941700903e+00 
       8.322579570814e-03       3.479164097296e+00 
       8.986514707061e-03       3.611822536725e+00 
       9.703415376577e-03       3.734485192189e+00 
       1.047750691338e-02       3.844473407922e+00 
       1.131335172818e-02       3.938777512434e+00 
       1.221587619877e-02       4.014047488656e+00 
       1.319039970550e-02       4.066512376927e+00 
       1.424266598317e-02       4.092006636095e+00 
       1.537887697392e-02       4.086056363862e+00 
       1.660572938023e-02       4.044061653698e+00 
       1.793045412706e-02       3.961603264398e+00 
       1.936085890181e-02       3.834559404636e+00 
       2.090537352463e-02       3.659762232239e+00 
       2.257309535333e-02       3.435099149984e+00 
       2.437382002918e-02       3.160467945270e+00 
       2.631799944462e-02       2.838573143578e+00 
       2.841644545389e-02       2.475482845422e+00 
       3.067933355377e-02       2.081933634039e+00 
       3.311368470740e-02       1.673714160043e+00 
       3.571840443502e-02       1.271711818353e+00 
       3.847720348444e-02       9.005291900079e-01 
       4.135335538431e-02       5.838382156499e-01 
       4.429361667738e-02       3.379352079744e-01 
       4.724366439141e-02       1.669538866125e-01 
       5.016480835311e-02       6.334095576137e-02 
       5.303989620246e-02       1.294455873680e-02 
       5.586870669566e-02       1.517683611415e-05 
       5.866042680613e-02       1.024151393431e-02 
       6.142798932958e-02       3.190523975053e-02 
       6.418496440164e-02       5.605938140076e-02 
       6.694418833788e-02       7.654360873516e-02 
       6.971731106057e-02       8.951386569368e-02 
       7.251476155766e-02       9.333271118773e-02 
       7.534587671527e-02       8.824967684986e-02 
       7.821907666265e-02       7.581588608555e-02 
       8.114203772912e-02       5.868946115535e-02 
       8.412184535029e-02       4.000197195916e-02 
       8.716512279304e-02       2.275994676866e-02 
       9.027813695930e-02       9.505184950188e-03 
       9.346688431697e-02       1.821952971591e-03 
       9.673716028276e-02       1.151388600968e-04 
       1.000946150830e-01       3.580505215991e-03 
       1.035447986537e-01       1.040042269608e-02 
       1.070931966762e-01       1.816790385241e-02 
       1.107452594425e-01       2.443921068796e-02 
       1.145064249153e-01       2.735272985846e-02 
       1.183821370918e-01       2.609015139349e-02 
       1.223778605862e-01       2.109762223119e-02 
       1.264990921987e-01       1.393069151594e-02 
       1.307513701367e-01       6.777428013326e-03 
       1.351402814784e-01       1.718487651277e-03 
       1.396714684203e-01       4.506140709007e-07 
       1.443506338194e-01       1.585913221064e-03 
       1.491835465229e-01       5.163639551286e-03 
       1.541760469708e-01       8.721234167796e-03 
       1.593340535561e-01       1.039497953235e-02 
       1.646635702297e-01       9.375374479494e-03 
       1.701706958456e-01       6.234382241130e-03 
       1.758616357459e-01       2.627560621361e-03 
       1.817427160982e-01       3.273069749829e-04 
       1.878204015065e-01       2.269383026761e-04 
       1.941013164283e-01       1.824367316905e-03 
       2.005922709503e-01       3.603077067091e-03 
       2.073002914972e-01       4.121423698322e-03 
       2.142326570816e-01       3.030534990904e-03 
       2.213969417533e-01       1.234008157053e-03 
       2.288010639706e-01       8.756949081460e-05 
       2.364533437147e-01       2.497062661543e-04 
       2.443625682930e-01       1.156465275833e-03 
       2.525380679504e-01       1.676287008386e-03 
       2.609898026346e-01       1.255461193458e-03 
       2.697284615565e-01       3.993357374810e-04 
       2.787655775689e-01       1.024380646293e-07 
       2.881136588829e-01       2.734725246949e-04 
       2.977863412677e-01       6.326435672567e-04 
       3.077985646929e-01       5.248591614182e-04 
       3.181667794071e-01       1.395291024785e-04 
       3.289091877812e-01       5.865600760382e-06 
       3.400460299658e-01       1.726006641722e-04 
       3.515999236474e-01       2.438663567164e-04 
       3.635962711085e-01       9.512381296704e-05 
       3.760637506334e-01       6.073761181011e-08 
       3.890349143879e-01       6.387871889760e-05 
       4.025469216825e-01       8.332007681652e-05 
       4.166424456376e-01       1.570878515901e-05 
       4.313708035863e-01       7.685855168359e-06 
       4.467893782977e-01       3.264462698237e-05 
       4.629654199664e-01       1.056474406491e-05 
       4.799783501994e-01       1.882277258560e-06 
       4.979227319373e-01       1.071324924097e-05 
       5.169121270864e-01       1.535669773720e-06 
       5.370841404489e-01       2.227538120744e-06 
       5.586070464571e-01       2.076092051137e-06 
       5.816885094930e-01       2.528306433045e-07 
       6.065870144995e-01       7.851445601820e-07 
       6.336266468475e-01       7.375180182026e-08 
       6.632156059511e-01       1.369025776299e-07 
       6.958678639263e-01       7.480282817625e-08 
       7.322247985589e-01       2.625566761304e-09 
       7.730680195114e-01       3.839176290694e-09 
       8.193049553677e-01       9.747273631052e-10 
       8.718988016039e-01       9.022237341541e-11 
       9.317218031082e-01       1.273792200646e-10 
       9.993660908989e-01       4.567730342685e-12 
       1.075037110174e+00       5.810620681307e-11 
       1.158653485707e+00       4.587582747428e-10 
       1.250099157308e+00       6.526168309076e-12 
       1.349432401273e+00       1.171112934245e-11 
       1.456947457397e+00       3.554332167961e-11 
       1.573135111331e+00       6.126566889217e-12 
       1.698621895592e+00       6.329481684371e-11 
       1.834127512934e+00       3.366209865951e-11 
       1.980444934528e+00       8.110861975691e-11 
       2.138435191726e+00       9.406200547479e-10 
       2.309029199186e+00       2.641886619907e-10 
       2.493232377687e+00       4.370442311794e-10 
       2.692130395285e+00       3.374356086074e-11 
       2.906895534573e+00       9.464439563666e-12 
       3.138793597714e+00       1.964198186249e-10 
       3.389191366484e+00       5.592317455070e-10 
       3.659564657905e+00       5.390304103538e-11 
       3.951507022538e+00       1.782302312974e-12 
       4.266739136701e+00       1.290719172818e-12 
       4.607118943941e+00       5.959448384442e-11 
       4.974652605557e+00       3.676225493750e-10 
       5.371506324689e+00       1.076120470979e-11 
       5.800019113685e+00       5.743148010398e-11 
       6.262716579983e+00       1.625768962095e-10 
       6.762325811764e+00       2.902208783753e-11 
       7.301791451110e+00       1.323731064105e-09 
       7.884293049406e+00       9.560685399147e-11 
       8.513263807261e+00       5.035593529730e-10 
       9.192410809424e+00       8.393544497694e-12 
       9.925736873929e+00       1.231180241002e-11 
       1.071756414427e+01       2.919825911437e-10 
       1.157255956364e+01       2.099560670573e-10 
       1.249576238137e+01       2.125203964885e-10 
       1.349261385375e+01       1.848765159600e-12 
       1.456898931416e+01       8.165010452716e-11 
       1.573123280165e+01       9.062061551671e-11 
       1.698619445202e+01       7.596999040349e-12 
       1.834127087176e+01       2.777499964739e-16 
       1.980444873285e+01       1.802687169608e-13 
       2.138435184532e+01       2.448612025610e-15 
       2.309029198506e+01       2.199089399229e-16 
       2.493232377636e+01       6.568212575494e-12 
       2.692130395282e+01       5.848626105236e-13 
       2.906895534573e+01       9.958269655492e-14 
       3.138793597714e+01       6.728996621347e-12 
       3.389191366484e+01       6.166905854685e-13 
       3.659564657905e+01       2.101228525408e-17 
       3.951507022538e+01       6.740694880466e-14 
       4.266739136701e+01       2.866743817545e-13 
       4.607118943941e+01       2.465147781822e-13 
       4.974652605557e+01       1.083547016660e-14 
       5.371506324689e+01       1.595724650531e-12 
       5.800019113685e+01       1.055504116514e-15 
       6.262716579983e+01       1.226286599520e-12 
       6.762325811764e+01       2.835441156264e-13 
       7.301791451110e+01       5.376305856130e-12 
       7.884293049406e+01       4.486545232721e-17 
       8.513263807261e+01       2.280876009965e-15 
       9.192410809424e+01       1.461721897906e-14 
       9.925736873929e+01       2.272142347139e-15 
       1.071756414427e+02       1.710452873477e-12 
       1.157255956364e+02       8.176059413087e-14 
       1.249576238137e+02       9.559735442644e-14 
       1.349261385375e+02       2.393155554334e-17 
