# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927096870e-03 
       1.131335172818e-05       7.820332152462e-03 
       1.221587619877e-05       8.421675384166e-03 
       1.319039970550e-05       9.069257739980e-03 
       1.424266598317e-05       9.766636453255e-03 
       1.537887697396e-05       1.051763973870e-02 
       1.660572938097e-05       1.132639250999e-02 
       1.793045413791e-05       1.219733201773e-02 
       1.936085902737e-05       1.313524187490e-02 
       2.090537469909e-05       1.414527085286e-02 
       2.257310435923e-05       1.523296544825e-02 
       2.437387742372e-05       1.640429654999e-02 
       2.631830745176e-05       1.766569603672e-02 
       2.841785470091e-05       1.902408711578e-02 
       3.068489367268e-05       2.048692967891e-02 
       3.313278604643e-05       2.206225468029e-02 
       3.577595943165e-05       2.375870884364e-02 
       3.862999240274e-05       2.558560670383e-02 
       4.171170631739e-05       2.755297673121e-02 
       4.503926445983e-05       2.967161934069e-02 
       4.863227909323e-05       3.195316456361e-02 
       5.251192705226e-05       3.441013466884e-02 
       5.670107455699e-05       3.705601742525e-02 
       6.122441198393e-05       3.990533413734e-02 
       6.610859938837e-05       4.297372243488e-02 
       7.138242363583e-05       4.627802055940e-02 
       7.707696806873e-05       4.983636161001e-02 
       8.322579570814e-05       5.366826788111e-02 
       8.986514707061e-05       5.779476321006e-02 
       9.703415376577e-05       6.223848223201e-02 
       1.047750691338e-04       6.702379826492e-02 
       1.131335172818e-04       7.217695032625e-02 
       1.221587619877e-04       7.772619032057e-02 
       1.319039970550e-04       8.370193381933e-02 
       1.424266598317e-04       9.013692508628e-02 
       1.537887697396e-04       9.706641132519e-02 
       1.660572938097e-04       1.045283343340e-01 
       1.793045413791e-04       1.125635329431e-01 
       1.936085902737e-04       1.212159592574e-01 
       2.090537469909e-04       1.305329107720e-01 
       2.257310435923e-04       1.405652819668e-01 
       2.437387742372e-04       1.513678275403e-01 
       2.631830745176e-04       1.629994475488e-01 
       2.841785470091e-04       1.755234890859e-01 
       3.068489367268e-04       1.890080645709e-01 
       3.313278604643e-04       2.035263977871e-01 
       3.577595943165e-04       2.191571778516e-01 
       3.862999240274e-04       2.359849423765e-01 
       4.171170631739e-04       2.541004713543e-01 
       4.503926445983e-04       2.736012061737e-01 
       4.863227909323e-04       2.945916775260e-01 
       5.251192705226e-04       3.171839508521e-01 
       5.670107455699e-04       3.414980769807e-01 
       6.122441198393e-04       3.676625417042e-01 
       6.610859938837e-04       3.958147273649e-01 
       7.138242363583e-04       4.261013332891e-01 
       7.707696806873e-04       4.586787881717e-01 
       8.322579570814e-04       4.937136113727e-01 
       8.986514707061e-04       5.313826963016e-01 
       9.703415376577e-04       5.718735177769e-01 
       1.047750691338e-03       6.153841927231e-01 
       1.131335172818e-03       6.621233624104e-01 
       1.221587619877e-03       7.123098744615e-01 
       1.319039970550e-03       7.661721264702e-01 
       1.424266598317e-03       8.239547182150e-01 
       1.537887697396e-03       8.859012283537e-01 
       1.660572938097e-03       9.522589496252e-01 
       1.793045413791e-03       1.023280284752e+00 
       1.936085902737e-03       1.099216542092e+00 
       2.090537469909e-03       1.180313284952e+00 
       2.257310435923e-03       1.266804486625e+00 
       2.437387742372e-03       1.358905328142e+00 
       2.631830745176e-03       1.456803285440e+00 
       2.841785470091e-03       1.560647662269e+00 
       3.068489367268e-03       1.670537009457e+00 
       3.313278604643e-03       1.786505038041e+00 
       3.577595943165e-03       1.908504407875e+00 
       3.862999240274e-03       2.036389465637e+00 
       4.171170631739e-03       2.169898248498e+00 
       4.503926445983e-03       2.308634486053e+00 
       4.863227909323e-03       2.452050666671e+00 
       5.251192705226e-03       2.599434670082e+00 
       5.670107455699e-03       2.749901110931e+00 
       6.122441198393e-03       2.902390099391e+00 
       6.610859938837e-03       3.055671855336e+00 
       7.138242363583e-03       3.208360026962e+00 
       7.707696806873e-03       3.358926528606e+00 
       8.322579570814e-03       3.505728022254e+00 
       8.986514707061e-03       3.647013023369e+00 
       9.703415376577e-03       3.780925863964e+00 
       1.047750691338e-02       3.905492718611e+00 
       1.131335172818e-02       4.018589397645e+00 
       1.221587619877e-02       4.117902604622e+00 
       1.319039970550e-02       4.200917307870e+00 
       1.424266598317e-02       4.264943244231e+00 
       1.537887697392e-02       4.307218991046e+00 
       1.660572938023e-02       4.325061570229e+00 
       1.793045412706e-02       4.316059268893e+00 
       1.936085890181e-02       4.278227430147e+00 
       2.090537352463e-02       4.210202728099e+00 
       2.257309535333e-02       4.111416467683e+00 
       2.437382002918e-02       3.982418062708e+00 
       2.631799944462e-02       3.825165086594e+00 
       2.841644545389e-02       3.643277654744e+00 
       3.067933355377e-02       3.442193221380e+00 
       3.311368470740e-02       3.229231039697e+00 
       3.571840443502e-02       3.013508304202e+00 
       3.847720348444e-02       2.805275302148e+00 
       4.135335538431e-02       2.614399437430e+00 
       4.429361667738e-02       2.448119301787e+00 
       4.724366439141e-02       2.309226013392e+00 
       5.016480835311e-02       2.196098801376e+00 
       5.303989620246e-02       2.104351730050e+00 
       5.586870669566e-02       2.028442769505e+00 
       5.866042680613e-02       1.963133847075e+00 
       6.142798932958e-02       1.903756672961e+00 
