# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       5.020963921398e+01 
       1.131335172818e-05       5.407048701424e+01 
       1.221587619877e-05       5.822819364875e+01 
       1.319039970550e-05       6.270561848838e+01 
       1.424266598317e-05       6.752731477127e+01 
       1.537887697396e-05       7.271976790803e+01 
       1.660572938097e-05       7.831147108095e+01 
       1.793045413791e-05       8.433312564981e+01 
       1.936085902737e-05       9.081778877436e+01 
       2.090537469909e-05       9.780108026521e+01 
       2.257310435923e-05       1.053212930697e+02 
       2.437387742372e-05       1.134197268778e+02 
       2.631830745176e-05       1.221408288924e+02 
       2.841785470091e-05       1.315324609962e+02 
       3.068489367268e-05       1.416461675764e+02 
       3.313278604643e-05       1.525374477798e+02 
       3.577595943165e-05       1.642660519382e+02 
       3.862999240274e-05       1.768963433113e+02 
       4.171170631739e-05       1.904975994523e+02 
       4.503926445983e-05       2.051444245588e+02 
       4.863227909323e-05       2.209171406687e+02 
       5.251192705226e-05       2.379022244832e+02 
       5.670107455699e-05       2.561927818975e+02 
       6.122441198393e-05       2.758890478438e+02 
       6.610859938837e-05       2.970989220125e+02 
       7.138242363583e-05       3.199385571149e+02 
       7.707696806873e-05       3.445329727284e+02 
       8.322579570814e-05       3.710167324347e+02 
       8.986514707061e-05       3.995346445640e+02 
       9.703415376577e-05       4.302425390496e+02 
       1.047750691338e-04       4.633080762651e+02 
       1.131335172818e-04       4.989116273898e+02 
       1.221587619877e-04       5.372471939324e+02 
       1.319039970550e-04       5.785234108938e+02 
       1.424266598317e-04       6.229645927247e+02 
       1.537887697396e-04       6.708118491661e+02 
       1.660572938097e-04       7.223242665878e+02 
       1.793045413791e-04       7.777801575518e+02 
       1.936085902737e-04       8.374783630265e+02 
       2.090537469909e-04       9.017396291815e+02 
       2.257310435923e-04       9.709080288554e+02 
       2.437387742372e-04       1.045352453691e+03 
       2.631830745176e-04       1.125468127495e+03 
       2.841785470091e-04       1.211678184948e+03 
       3.068489367268e-04       1.304435256749e+03 
       3.313278604643e-04       1.404223061363e+03 
       3.577595943165e-04       1.511558028238e+03 
       3.862999240274e-04       1.626990852192e+03 
       4.171170631739e-04       1.751108044391e+03 
       4.503926445983e-04       1.884533402739e+03 
       4.863227909323e-04       2.027929405752e+03 
       5.251192705226e-04       2.181998481991e+03 
       5.670107455699e-04       2.347484141670e+03 
       6.122441198393e-04       2.525171921656e+03 
       6.610859938837e-04       2.715890049763e+03 
       7.138242363583e-04       2.920509769936e+03 
       7.707696806873e-04       3.139945197541e+03 
       8.322579570814e-04       3.375152461321e+03 
       8.986514707061e-04       3.627127999365e+03 
       9.703415376577e-04       3.896905638462e+03 
       1.047750691338e-03       4.185552404721e+03 
       1.131335172818e-03       4.494162710177e+03 
       1.221587619877e-03       4.823851057270e+03 
       1.319039970550e-03       5.175743145703e+03 
       1.424266598317e-03       5.551020109539e+03 
       1.537887697396e-03       5.950788905009e+03 
       1.660572938097e-03       6.376123723758e+03 
       1.793045413791e-03       6.828074620533e+03 
       1.936085902737e-03       7.307626147057e+03 
       2.090537469909e-03       7.815672670709e+03 
       2.257310435923e-03       8.352991062425e+03 
       2.437387742372e-03       8.920211617500e+03 
       2.631830745176e-03       9.517783309855e+03 
       2.841785470091e-03       1.014593654304e+04 
       3.068489367268e-03       1.080464379941e+04 
       3.313278604643e-03       1.149357159490e+04 
       3.577595943165e-03       1.221203099108e+04 
       3.862999240274e-03       1.295891661389e+04 
       4.171170631739e-03       1.373264576053e+04 
       4.503926445983e-03       1.453109595941e+04 
       4.863227909323e-03       1.535151572596e+04 
       5.251192705226e-03       1.619058621449e+04 
       5.670107455699e-03       1.704423327496e+04 
       6.122441198393e-03       1.790743863304e+04 
       6.610859938837e-03       1.877442996327e+04 
       7.138242363583e-03       1.963848088814e+04 
       7.707696806873e-03       2.049181725278e+04 
       8.322579570814e-03       2.132561008090e+04 
       8.986514707061e-03       2.212992956399e+04 
       9.703415376577e-03       2.289361876003e+04 
       1.047750691338e-02       2.360436149789e+04 
       1.131335172818e-02       2.424874051442e+04 
       1.221587619877e-02       2.481227039158e+04 
       1.319039970550e-02       2.527960680379e+04 
       1.424266598317e-02       2.563476750510e+04 
       1.537887697392e-02       2.586167486263e+04 
       1.660572938023e-02       2.594460074489e+04 
       1.793045412706e-02       2.586905590352e+04 
       1.936085890181e-02       2.562287466347e+04 
       2.090537352463e-02       2.519751187280e+04 
       2.257309535333e-02       2.458955460870e+04 
       2.437382002918e-02       2.380218860382e+04 
       2.631799944462e-02       2.284718396888e+04 
       2.841644545389e-02       2.174595097218e+04 
       3.067933355377e-02       2.053069025591e+04 
       3.311368470740e-02       1.924520958696e+04 
       3.571840443502e-02       1.794375476525e+04 
       3.847720348444e-02       1.668754610343e+04 
       4.135335538431e-02       1.553570661584e+04 
       4.429361667738e-02       1.453141879099e+04 
       4.724366439141e-02       1.369145809519e+04 
       5.016480835311e-02       1.300597993491e+04 
       5.303989620246e-02       1.244845973014e+04 
       5.586870669566e-02       1.198627335354e+04 
       5.866042680613e-02       1.158798969927e+04 
       6.142798932958e-02       1.122570034398e+04 
       6.418496440164e-02       1.087630941827e+04 
       6.694418833788e-02       1.052172414851e+04 
       6.971731106057e-02       1.014862054844e+04 
       7.251476155766e-02       9.748830290116e+03 
       7.534587671527e-02       9.319052665768e+03 
       7.821907666265e-02       8.860978671620e+03 
       8.114203772912e-02       8.380525714721e+03 
       8.412184535029e-02       7.887299564268e+03 
