# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.262985175670e-03 
       1.131335172818e-05       7.821470728823e-03 
       1.221587619877e-05       8.422901848991e-03 
       1.319039970550e-05       9.070579148874e-03 
       1.424266598317e-05       9.768060434273e-03 
       1.537887697396e-05       1.051917199726e-02 
       1.660572938097e-05       1.132804269759e-02 
       1.793045413791e-05       1.219910772455e-02 
       1.936085902737e-05       1.313715359995e-02 
       2.090537469909e-05       1.414732992802e-02 
       2.257310435923e-05       1.523518288288e-02 
       2.437387742372e-05       1.640668425579e-02 
       2.631830745176e-05       1.766826672977e-02 
       2.841785470091e-05       1.902685690885e-02 
       3.068489367268e-05       2.048991227097e-02 
       3.313278604643e-05       2.206546563461e-02 
       3.577595943165e-05       2.376216812526e-02 
       3.862999240274e-05       2.558933031444e-02 
       4.171170631739e-05       2.755698785359e-02 
       4.503926445983e-05       2.967593786684e-02 
       4.863227909323e-05       3.195781575266e-02 
       5.251192705226e-05       3.441514278565e-02 
       5.670107455699e-05       3.706140955205e-02 
       6.122441198393e-05       3.991114035689e-02 
       6.610859938837e-05       4.297997559718e-02 
       7.138242363583e-05       4.628475229314e-02 
       7.707696806873e-05       4.984361068645e-02 
       8.322579570814e-05       5.367607295656e-02 
       8.986514707061e-05       5.780316525102e-02 
       9.703415376577e-05       6.224752808609e-02 
       1.047750691338e-04       6.703353512662e-02 
       1.131335172818e-04       7.218743174442e-02 
       1.221587619877e-04       7.773747163155e-02 
       1.319039970550e-04       8.371407583129e-02 
       1.424266598317e-04       9.014999085298e-02 
       1.537887697396e-04       9.708047062651e-02 
       1.660572938097e-04       1.045434590924e-01 
       1.793045413791e-04       1.125798021585e-01 
       1.936085902737e-04       1.212334556160e-01 
       2.090537469909e-04       1.305517231557e-01 
       2.257310435923e-04       1.405855038836e-01 
       2.437387742372e-04       1.513895571854e-01 
       2.631830745176e-04       1.630227896692e-01 
       2.841785470091e-04       1.755485517110e-01 
       3.068489367268e-04       1.890349611524e-01 
       3.313278604643e-04       2.035552464169e-01 
       3.577595943165e-04       2.191880975277e-01 
       3.862999240274e-04       2.360180544866e-01 
       4.171170631739e-04       2.541358970015e-01 
       4.503926445983e-04       2.736390640617e-01 
       4.863227909323e-04       2.946320790883e-01 
       5.251192705226e-04       3.172269962589e-01 
       5.670107455699e-04       3.415438489250e-01 
       6.122441198393e-04       3.677111016887e-01 
       6.610859938837e-04       3.958660973685e-01 
       7.138242363583e-04       4.261554887551e-01 
       7.707696806873e-04       4.587356404915e-01 
       8.322579570814e-04       4.937729810868e-01 
       8.986514707061e-04       5.314442957155e-01 
       9.703415376577e-04       5.719368929811e-01 
       1.047750691338e-03       6.154486968428e-01 
       1.131335172818e-03       6.621880882982e-01 
       1.221587619877e-03       7.123735482308e-01 
       1.319039970550e-03       7.662330551217e-01 
       1.424266598317e-03       8.240106617452e-01 
       1.537887697396e-03       8.859489809054e-01 
       1.660572938097e-03       9.522942300650e-01 
       1.793045413791e-03       1.023297484837e+00 
       1.936085902737e-03       1.099208282319e+00 
       2.090537469909e-03       1.180269820172e+00 
       2.257310435923e-03       1.266712878013e+00 
       2.437387742372e-03       1.358748600974e+00 
       2.631830745176e-03       1.456558891068e+00 
       2.841785470091e-03       1.560285725912e+00 
       3.068489367268e-03       1.670017838383e+00 
       3.313278604643e-03       1.785775770348e+00 
       3.577595943165e-03       1.907494815898e+00 
       3.862999240274e-03       2.035005301618e+00 
       4.171170631739e-03       2.168013395149e+00 
       4.503926445983e-03       2.306081335234e+00 
       4.863227909323e-03       2.448603975559e+00 
       5.251192705226e-03       2.594794660527e+00 
       5.670107455699e-03       2.743666304039e+00 
       6.122441198393e-03       2.894030315347e+00 
       6.610859938837e-03       3.044480632139e+00 
       7.138242363583e-03       3.193410325474e+00 
       7.707696806873e-03       3.339005416188e+00 
       8.322579570814e-03       3.479254322635e+00 
       8.986514707061e-03       3.611945199457e+00 
       9.703415376577e-03       3.734648927113e+00 
       1.047750691338e-02       3.844687536239e+00 
       1.131335172818e-02       3.939064728276e+00 
       1.221587619877e-02       4.014422141799e+00 
       1.319039970550e-02       4.067000011697e+00 
       1.424266598317e-02       4.092633333623e+00 
       1.537887697392e-02       4.086860926764e+00 
       1.660572938023e-02       4.045094030789e+00 
       1.793045412706e-02       3.962880738570e+00 
       1.936085890181e-02       3.836188475457e+00 
       2.090537352463e-02       3.661737176665e+00 
       2.257309535333e-02       3.437518237401e+00 
       2.437382002918e-02       3.163392693419e+00 
       2.631799944462e-02       2.841945672753e+00 
       2.841644545389e-02       2.479374492161e+00 
       3.067933355377e-02       2.086306505109e+00 
       3.311368470740e-02       1.678437544238e+00 
       3.571840443502e-02       1.276674111332e+00 
       3.847720348444e-02       9.054521641006e-01 
       4.135335538431e-02       5.884266287504e-01 
       4.429361667738e-02       3.419164937527e-01 
       4.724366439141e-02       1.700354559949e-01 
       5.016480835311e-02       6.539926454192e-02 
       5.303989620246e-02       1.393145608381e-02 
       5.586870669566e-02       2.216060328998e-07 
       5.866042680613e-02       9.365032595092e-03 
       6.142798932958e-02       3.036353565396e-02 
       6.418496440164e-02       5.412590722647e-02 
       6.694418833788e-02       7.442741179249e-02 
       6.971731106057e-02       8.745156924722e-02 
       7.251476155766e-02       9.157565545842e-02 
       7.534587671527e-02       8.689833407741e-02 
       7.821907666265e-02       7.498900905939e-02 
       8.114203772912e-02       5.836092423953e-02 
       8.412184535029e-02       4.005819634774e-02 
       8.716512279304e-02       2.307022481802e-02 
       9.027813695930e-02       9.881097214878e-03 
       9.346688431697e-02       2.060467024182e-03 
       9.673716028276e-02       5.293025900214e-05 
       1.000946150830e-01       3.112802312343e-03 
       1.035447986537e-01       9.513118662689e-03 
       1.070931966762e-01       1.693839567870e-02 
       1.107452594425e-01       2.303611816294e-02 
