# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 134.926 h/Mpc,
# number of wavenumbers equal to 255
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261930042696e-03 
       1.131335172818e-05       7.820335321783e-03 
       1.221587619877e-05       8.421678804115e-03 
       1.319039970550e-05       9.069261423031e-03 
       1.424266598317e-05       9.766640413503e-03 
       1.537887697396e-05       1.051764404084e-02 
       1.660572938097e-05       1.132639710697e-02 
       1.793045413791e-05       1.219733697709e-02 
       1.936085902737e-05       1.313524698887e-02 
       2.090537469909e-05       1.414527659391e-02 
       2.257310435923e-05       1.523297162096e-02 
       2.437387742372e-05       1.640430320599e-02 
       2.631830745176e-05       1.766570320647e-02 
       2.841785470091e-05       1.902409483122e-02 
       3.068489367268e-05       2.048693799089e-02 
       3.313278604643e-05       2.206226363892e-02 
       3.577595943165e-05       2.375871847319e-02 
       3.862999240274e-05       2.558561701129e-02 
       4.171170631739e-05       2.755298782303e-02 
       4.503926445983e-05       2.967163152518e-02 
       4.863227909323e-05       3.195317694517e-02 
       5.251192705226e-05       3.441014859687e-02 
       5.670107455699e-05       3.705603247296e-02 
       6.122441198393e-05       3.990534974871e-02 
       6.610859938837e-05       4.297373993309e-02 
       7.138242363583e-05       4.627803964146e-02 
       7.707696806873e-05       4.983638181860e-02 
       8.322579570814e-05       5.366828963985e-02 
       8.986514707061e-05       5.779478661986e-02 
       9.703415376577e-05       6.223850760628e-02 
       1.047750691338e-04       6.702382537883e-02 
       1.131335172818e-04       7.217697924821e-02 
       1.221587619877e-04       7.772622169661e-02 
       1.319039970550e-04       8.370196755325e-02 
       1.424266598317e-04       9.013696144686e-02 
       1.537887697396e-04       9.706645038703e-02 
       1.660572938097e-04       1.045283764335e-01 
       1.793045413791e-04       1.125635781953e-01 
       1.936085902737e-04       1.212160078877e-01 
       2.090537469909e-04       1.305329631151e-01 
       2.257310435923e-04       1.405653381371e-01 
       2.437387742372e-04       1.513678882134e-01 
       2.631830745176e-04       1.629995123318e-01 
       2.841785470091e-04       1.755235579760e-01 
       3.068489367268e-04       1.890081393190e-01 
       3.313278604643e-04       2.035264778275e-01 
       3.577595943165e-04       2.191572634647e-01 
       3.862999240274e-04       2.359850340648e-01 
       4.171170631739e-04       2.541005694114e-01 
       4.503926445983e-04       2.736013108498e-01 
       4.863227909323e-04       2.945917891106e-01 
       5.251192705226e-04       3.171840693712e-01 
       5.670107455699e-04       3.414982029590e-01 
       6.122441198393e-04       3.676626749399e-01 
       6.610859938837e-04       3.958148681568e-01 
       7.138242363583e-04       4.261014808563e-01 
       7.707696806873e-04       4.586789426157e-01 
       8.322579570814e-04       4.937137717007e-01 
       8.986514707061e-04       5.313828610298e-01 
       9.703415376577e-04       5.718736865787e-01 
       1.047750691338e-03       6.153843620214e-01 
       1.131335172818e-03       6.621235298943e-01 
       1.221587619877e-03       7.123100344314e-01 
       1.319039970550e-03       7.661722744727e-01 
       1.424266598317e-03       8.239548557689e-01 
       1.537887697396e-03       8.859013389846e-01 
       1.660572938097e-03       9.522589938203e-01 
       1.793045413791e-03       1.023280207976e+00 
       1.936085902737e-03       1.099216257806e+00 
       2.090537469909e-03       1.180312671516e+00 
       2.257310435923e-03       1.266803363575e+00 
       2.437387742372e-03       1.358903444086e+00 
       2.631830745176e-03       1.456800302849e+00 
       2.841785470091e-03       1.560643095410e+00 
       3.068489367268e-03       1.670530251150e+00 
       3.313278604643e-03       1.786495209199e+00 
       3.577595943165e-03       1.908490405922e+00 
       3.862999240274e-03       2.036369835053e+00 
       4.171170631739e-03       2.169870838675e+00 
       4.503926445983e-03       2.308596231750e+00 
       4.863227909323e-03       2.451997382271e+00 
       5.251192705226e-03       2.599361199765e+00 
       5.670107455699e-03       2.749799429673e+00 
       6.122441198393e-03       2.902250277545e+00 
       6.610859938837e-03       3.055479998740e+00 
       7.138242363583e-03       3.208096534964e+00 
       7.707696806873e-03       3.358566465380e+00 
       8.322579570814e-03       3.505236598293e+00 
       8.986514707061e-03       3.646343241465e+00 
